./data/tmpuploads/audiofile_520310b0cf57e
-25.00	0.17
33.750000	47.070000	1332
90.459999	97.820000	736
10.080000	17.340000	726
106.389999	113.550003	716
75.570000	82.440002	687
19.950001	26.610001	666
49.439999	56.029999	659
57.119999	63.500000	638
144.580002	150.899994	631
99.080002	105.089996	601
151.839996	157.770004	593
129.539993	135.279999	574
27.110001	32.000000	489
114.150002	119.040001	489
120.790001	125.440002	465
68.510002	72.800003	428
137.559998	141.339996	378
83.510002	87.269997	376
73.430000	74.570000	113
127.419998	128.470001	105
87.900002	88.760002	86
141.630005	142.179993	55
125.699997	126.220001	52
18.250000	18.620001	37
